city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,Marynarki Polskiej,569000,57.0,2,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-marynarki-polskiej-57m2-mzn2046213614,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbmFkbW8xLzEvbmFkbW8xX21zXzYyMjM4NV8xLmpwZyN2PTJfMzc5MzM4MTMxMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-nowy-port-57-m.jpg,-1,wtórny,-1,3,1,1,1,0,1,0,0,0,0,18.6682,54.3987
Gdańsk,Artura Grottgera,1999000,72.0,3,1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-artura-grottgera-72m2-mzn2045845496,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY3MzE4LzkvbzY3MzE4X21zX0hFWDQyMTI3MF8xLmpwZyN2PTFfMzgxMTE4MjExOA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-oliwa-72-m.jpg,2024,wtórny,C.O. miejskie,3,0,0,0,1,1,0,1,0,0,18.5658514,54.3990269
Gdańsk,Chłopska,569000,45.0,2,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-chlopska-45m2-mzn2046191528,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvMS90eXN6a2lld19tc19UWTYxMzI3Ml8xLmpwZyN2PTFfMzgxMTA0MTQyMA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-przymorze-45-m.jpg,1965,wtórny,C.O. miejskie,4,1,1,0,0,1,0,1,0,0,18.589584,54.414845
Gdańsk,Wielkopolska,722770,68.0,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-wielkopolska-68m2-mzn2044874473,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL2Rld2Vsb3Blcnp5LzkzNzlfd2l6dWFsaXphY2phNS5qcGcjdj0xNzU4ODA5Nzkx/3x2_xs:fill_and_crop/mieszkanie-w-inwestycji-quercus-gdansk-68-m.jpg,2025,pierwotny,-1,-1,0,0,0,1,1,0,0,0,0,18.58993292,54.3111909
Gdańsk,Chmielna,3456950,98.0,3,2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-98m2-mzn2036537311,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdGVrdG9uY2FwaS9iL3Rla3RvbmNhcGlfbXNfVEMyMTY5MzlfMS5qcGcjdj0xXzM4MDk5MDk1NDI=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-98-m.jpg,2019,wtórny,C.O. miejskie,7,1,0,0,1,1,1,1,0,0,18.65586,54.34636
Gdańsk,Konrada Guderskiego,910000,68.0,3,1,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-konrada-guderskiego-68m2-mzn2045856191,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvdHlzemtpZXcvYy90eXN6a2lld19tc19UWTUzOTg4Nl8xLmpwZyN2PTFfMzgxMDM5NTU4NA==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-ujescisko-lostowice-68-m.jpg,2010,wtórny,C.O. miejskie,3,0,1,1,0,1,0,1,0,0,18.5671265,54.3194888
Gdańsk,Kamienna Grobla,1569000,78.0,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-kamienna-grobla-78m2-mzn2046264643,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS9hL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0MDI2MDE1XzEuanBnI3Y9MV8zODA5Nzc0MzQ2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-78-m.jpg,-1,wtórny,-1,4,0,0,0,1,1,0,0,0,0,18.656741,54.341799
Gdańsk,Opacka,2142000,68.0,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-oliwa-opacka-68m2-mzn2046246200,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS81L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQzOTk3NTE3XzEuanBnI3Y9MV8zODA3ODA4Njg2/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-68-m.jpg,-1,wtórny,-1,2,0,0,1,0,1,0,0,0,0,18.563943,54.41302
Gdańsk,Dywizjonu 303,920000,73.0,4,2,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zaspa-dywizjonu-303-73m2-mzn2046267144,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS8xL3pnbG9zemVuaWFfbXNfZ3JhdGthLTQ0MDkwOTkxXzEuanBnI3Y9MV8zODEwMDk3ODgy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-73-m.jpg,1979,wtórny,-1,9,1,1,0,1,1,0,0,0,0,18.599541,54.390346
Gdańsk,Czarny Dwór,1150000,45.0,2,5,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-czarny-dwor-45m2-mzn2046121177,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvemdsb3N6ZW5pYS82L3pnbG9zemVuaWFfbXNfZ3JhdGthLTQzNDI1MDMxXzEuanBnI3Y9MV8zNzcwMTI4MDIy/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-45-m.jpg,-1,wtórny,-1,12,0,0,0,0,0,0,0,0,0,18.607312,54.408966
